id,Mittente,Destinatario,Importo,Data,Metodo_di_pagamento,Valuta,Paese_del_Cliente,Paese_a_Rischio,Mittente_sospetto,Destinatario_sospetto
0cf2c043-28bb-4999-bbb1-f3a961224afe,Gabriel Reese,Chloe Howell,4956,2023-07-11 15:28:47,Carta di credito,GBP,Stati Uniti,Si,No,Si
972482cd-0921-407a-948b-eda4df134cc5,John Pope,Carol Martin,9144,2023-01-14 13:31:48,Carta di credito,USD,Italia,No,Si,No
3e7c35e3-119d-447d-b08f-44ef8d114627,Justin Sanchez,Mary Walker DDS,2449,2023-08-17 18:24:44,Carta di credito,EUR,Germania,No,Si,No
4b063f0b-0639-48cb-9661-827a44cfc815,Zoe Rogers,David Allen,8409,2023-08-17 12:32:02,Assegno,USD,Francia,No,No,No
c96373e1-cbdf-4e7f-86f8-1b3558f41041,Robert Carpenter,Cindy Wood,521,2023-02-03 13:47:42,PayPal,GBP,Italia,No,No,Si
df0da4d8-92a1-499b-a321-f467037a8f62,Adam Harrison,David Davis,9747,2023-01-30 09:23:42,PayPal,EUR,Russia,Si,Si,No
932268a2-efc7-4e48-b112-fdc69ef72831,Barbara Brooks,Dawn Smith,7687,2023-05-22 22:00:53,Bonifico,USD,Giappone,Si,No,Si
324952fb-ff3c-4b4c-b283-95dce45f0c0b,Tony Escobar,Eileen Brown,1958,2023-08-18 18:08:35,Assegno,EUR,Stati Uniti,Si,Si,Si
7e07729d-d9de-4657-8395-6dd50db483b6,Nancy Baker,Karen Jones,779,2023-07-16 18:08:51,PayPal,GBP,Stati Uniti,Si,Si,No
59b576ed-5980-4cb6-bc64-76abb6cb4d7f,Laura Hall,Frank Porter,9832,2023-07-08 21:27:14,Bonifico,GBP,Germania,No,Si,No
72894a3f-e57a-4894-974d-213c49c71ea0,John Howell,Christopher Collier,8449,2023-05-11 03:00:07,Carta di credito,JPY,Russia,Si,Si,Si
8f334e69-328e-4425-8832-ce0ccbdcb71d,Robert Murphy,Ashley Sanchez,333,2023-08-11 19:32:24,Bonifico,JPY,Regno Unito,Si,No,Si
6d486f99-c4de-4345-b052-df1131049aab,Jeremy Thomas,Shannon Curtis,7300,2023-03-11 09:13:49,Carta di credito,JPY,Colombia,Si,No,No
3bca1c3c-715f-4d59-965f-359b8464b0f3,Stanley Brock,Danny Smith,566,2023-02-12 10:44:30,Bonifico,USD,Russia,Si,Si,No
d0007f85-4200-465e-b446-a93833a1de57,Daniel Solomon,Desiree Howell,822,2023-01-30 13:03:23,Carta di credito,EUR,Regno Unito,Si,No,No
e0258a01-40da-48b6-8a6c-6278daa124d0,Jessica Smith,Samantha Green,5520,2023-06-12 11:06:55,Assegno,USD,Canada,Si,Si,Si
675aef80-5bc0-4d17-8c20-17815bb67b89,Joshua Morrison,Hailey Crawford,6181,2023-02-01 13:01:34,PayPal,GBP,Regno Unito,Si,Si,No
e6a65f24-971c-40fb-a7bf-821c912f60a7,William Zhang,James Baker,6378,2023-09-01 06:57:11,Bonifico,JPY,Regno Unito,Si,Si,Si
8f0c2763-4220-4723-82e5-379a4e77741f,Gregory Burke,Roger Jimenez,1832,2023-01-05 15:48:27,Carta di credito,GBP,Francia,No,Si,Si
9eb7897a-07c7-4158-a6a6-0821ae15730d,Gary Davidson,Stacy Mccoy,4848,2023-06-27 18:53:43,Bonifico,JPY,Canada,Si,No,No
df8480ca-10e8-4d73-b13b-cfc1b890a760,Nathan Collins,Jessica King,627,2023-04-29 18:46:35,Bonifico,USD,Russia,Si,Si,No
b1379f67-7385-4c6c-846e-80aba2839fe4,Brandy Anderson,Bruce Lynch,8026,2023-04-24 08:19:25,PayPal,USD,Russia,Si,Si,Si
d9d34c5a-4aeb-4a3b-ad10-42ae7a77bfa3,Shannon Payne,Lori Smith,9289,2023-03-15 05:15:40,PayPal,EUR,Canada,Si,Si,Si
a5675417-521c-4d6e-976c-3914042a4c5c,Yvonne Thompson,Jasmine Mcguire,1449,2023-07-11 01:08:47,Carta di credito,GBP,Stati Uniti,Si,Si,Si
3879b9d7-958a-4077-b7ab-cb1aff009afc,Dr. William Rodgers,Mrs. Amanda Bradley,736,2023-01-04 18:52:05,Assegno,USD,Canada,Si,Si,Si
7782b04f-e546-433f-b68c-c763901a487a,Scott Banks,Sydney Moyer,7495,2023-08-23 01:31:04,PayPal,EUR,Regno Unito,Si,Si,Si
6112a82b-4523-456f-a784-50a4224767e2,Jason Perkins PhD,Jordan Gonzalez,7706,2023-01-13 18:37:15,Carta di credito,USD,Russia,Si,No,Si
7ea584d3-cb2c-4905-8635-eae92de24e19,Brian Peterson,Dr. Ronald Mathis II,6167,2023-01-26 00:07:03,PayPal,USD,Germania,No,Si,No
7e41c483-3a6c-4076-ac97-9e22c118c115,Martha Jordan,Katherine Yang,3824,2023-04-27 20:55:34,PayPal,EUR,Colombia,Si,No,Si
97029551-173e-4bca-ba07-db408e005e4e,Christopher Young,Jessica Johnston,8255,2023-04-18 08:23:02,Bonifico,EUR,Regno Unito,Si,No,No
b06d4ce5-6bf5-4ec2-925f-d306dd3925a4,John Stephenson,Heather Johnson,2849,2023-08-04 15:48:00,PayPal,GBP,Giappone,Si,No,Si
146ae3a4-d0f6-41df-9478-0ad2152320fa,Chloe Small,Joseph Smith,2183,2023-08-19 21:41:32,PayPal,JPY,Colombia,Si,No,No
d3be7e43-1fdc-4ee0-a962-90952265a085,Terri Perry,Daniel Mason,1478,2023-02-11 05:25:33,Bonifico,JPY,Regno Unito,Si,No,No
72406a8f-84d7-4818-8d11-cdafe5aa7b38,Robert Smith,Crystal Ramos,3426,2023-02-12 10:07:39,PayPal,GBP,Germania,No,No,No
6f10a6e6-065a-4c45-88ef-5c94ab3e5a71,Judith Martinez,Christopher Allen,7118,2023-03-03 17:46:41,Bonifico,GBP,Canada,Si,No,Si
f2e3eca4-2df7-4f9d-bd23-a4082aa87ebe,Nicole Merritt,Dana Schmitt,336,2023-05-18 17:58:11,Carta di credito,EUR,Russia,Si,No,Si
00515fa3-3468-4adc-963d-7e6cded6dc91,Ms. Terri Roberts,Alexandra Carey,3778,2023-05-30 12:51:13,Assegno,EUR,Italia,No,Si,No
a1ab5d9d-d198-45f7-9e61-dfdd2b241b5b,Sarah Randolph,Larry Rojas,2250,2023-01-29 23:58:33,Bonifico,GBP,Italia,No,No,Si
739aa925-4007-492e-aa06-347f064c98d1,Christina Richardson,Kathleen Bishop,2656,2023-08-07 22:12:02,Carta di credito,JPY,Francia,No,No,No
83a9fe60-b898-43dc-91ee-fd8afd84f534,Mark Wilson,Vickie Clark,4005,2023-03-17 05:33:41,PayPal,JPY,Germania,No,Si,Si
39dc144f-6b4c-4529-b36d-90cf34c58f07,Jenny Howard,Raymond Brown,5585,2023-01-28 20:50:45,Bonifico,USD,Germania,No,No,No
fcee4ec4-c0de-4ecb-9cd9-6160e4a1a14b,Jennifer Chen,Courtney Lynch,1195,2023-01-07 18:15:51,Bonifico,EUR,Italia,No,No,Si
7acd088e-8d70-4112-85d6-39f435ca55ee,Donna Smith,John Clark,6787,2023-09-01 07:28:48,Carta di credito,GBP,Italia,No,Si,No
ad123748-cb7e-4301-a204-c01066a88c8b,Sabrina Hunter,Eric Carlson,9388,2023-06-30 19:12:13,Assegno,GBP,Stati Uniti,Si,Si,Si
4d08899c-5835-431b-94c9-2a67bb5dfaf9,Karen Holmes,Juan Rogers,7727,2023-02-11 15:53:39,Assegno,EUR,Colombia,Si,No,No
726e02ac-17a2-4525-8ac4-9efb4b7eae7d,Anthony Dalton,Scott Mason,9299,2023-07-28 11:38:07,Bonifico,USD,Francia,No,Si,No
d0fc3cf3-5f9e-4995-9bc6-2e3b62765a0e,Timothy Schultz,Nathan Foster,7046,2023-06-14 05:09:44,Carta di credito,JPY,Canada,Si,Si,No
8744db4a-4aa5-407b-87dd-15c894b09955,Valerie Garcia,Kathryn Long,2382,2023-02-10 15:01:07,Carta di credito,USD,Giappone,Si,Si,Si
1be6fb9b-a400-4096-a559-2aa6aeec12b9,Misty Adams MD,Kayla Williams,1451,2023-01-27 21:21:27,Bonifico,USD,Giappone,Si,No,Si
df849f5f-015a-40ed-9997-54285ffabedc,Gary Golden,Anna Warren,7500,2023-07-11 08:54:10,PayPal,EUR,Russia,Si,Si,Si
ef32884d-49af-4238-afe3-a40b399b3ad8,Sabrina Wood,Casey Davenport,163,2023-06-26 01:40:01,Bonifico,JPY,Francia,No,Si,Si
9512c63d-6c50-46a8-b677-6173b91db74d,Angela Hughes,Megan Pennington,9072,2023-05-31 08:35:09,Assegno,EUR,Francia,No,Si,No
e8a63b4a-eb84-4406-a4c2-cb1146130870,Hayden Hurst,Brett Trevino,7404,2023-01-02 21:37:24,Carta di credito,GBP,Giappone,Si,No,No
7a770185-cb03-4f59-a48d-71118b534466,Mr. Malik Walker MD,Ashley Sanchez,6144,2023-04-12 01:19:07,Carta di credito,JPY,Francia,No,Si,Si
4c234209-067b-4481-b9b4-bb5172c0ebc8,Thomas Salazar,Thomas Rowe,1268,2023-06-09 12:26:22,Bonifico,EUR,Francia,No,No,No
e9cc7b4b-e30d-4303-b1c5-e099b0cf7c83,Troy Hamilton,Kim King,9308,2023-08-05 13:31:46,Carta di credito,EUR,Colombia,Si,Si,No
ec53e4ca-54a8-4bfb-93ce-d71328e19c12,Christopher Richards,Joseph Young,8422,2023-01-23 10:36:39,Assegno,USD,Francia,No,No,Si
0f76cdb3-1ec0-4a17-a214-6f316bb1e3b2,Robert Boyd,Sandra Heath,6320,2023-02-17 03:18:00,Carta di credito,EUR,Russia,Si,Si,No
7666cec6-77c4-4865-8eee-949a8193fd23,Yvonne Miller,Richard West,8698,2023-07-28 09:46:36,Bonifico,JPY,Russia,Si,No,Si
25a35fa3-c7b9-4490-b427-385b661b1305,Mr. Edwin Jones,Michael Garcia,2813,2023-06-05 20:48:45,Assegno,GBP,Regno Unito,Si,No,No
a5930568-8214-4ea8-b602-752845dcdad4,Michael Kent,Robert Huerta,1250,2023-02-22 22:40:31,Carta di credito,USD,Regno Unito,Si,Si,No
903382e7-8a8f-49a2-86d9-87455a3f97e1,Glenn Bryant,Molly Fritz DVM,2684,2023-02-06 00:11:53,Bonifico,USD,Colombia,Si,Si,Si
2b4f7313-5fb9-4395-9231-1868537c37b5,Adam Cook,Allison Fowler,2324,2023-08-20 01:11:17,Assegno,USD,Canada,Si,No,Si
887e338d-62e6-4cd1-9b17-e59d6c943508,Michael George,Robert Dalton,4064,2023-06-23 22:08:29,Carta di credito,JPY,Regno Unito,Si,No,Si
842f3478-f768-478a-aabc-2af875d9448a,Timothy Mendoza,Deborah King,6558,2023-02-05 13:43:00,Bonifico,USD,Germania,No,No,Si
8b2a9e2d-a358-4b74-b9c3-1f1d81a0ed22,Maria Mullins,Brian Hunter,8440,2023-07-29 18:47:00,Bonifico,JPY,Stati Uniti,Si,Si,Si
6bd2e959-3955-4e37-befb-81f728ce25cc,Sarah Reid,William Avery,3964,2023-05-20 16:19:47,Carta di credito,GBP,Germania,No,No,Si
a231fa3e-adae-455a-8dd7-52d9466790e4,Tamara Thompson,Beth Flowers,3731,2023-07-25 09:31:13,Bonifico,EUR,Canada,Si,No,Si
4bf732da-795b-4267-959c-a611beb01288,Rebecca Williams,Jessica Nolan,3616,2023-02-11 04:42:36,PayPal,JPY,Germania,No,No,Si
b66b80e5-b56b-4621-a97a-085614baf15f,Brooke Delacruz,Elizabeth Bailey,3025,2023-06-07 00:53:56,Carta di credito,JPY,Germania,No,No,Si
143e76cf-073d-4046-a2a6-5499a1810885,Lisa Williams,Jon Copeland Jr.,836,2023-06-17 04:14:03,PayPal,EUR,Russia,Si,No,No
3329bbf0-27db-4a30-b71f-bb2b17567bd3,Elizabeth Webb,Timothy Gonzalez,455,2023-07-30 04:33:35,Carta di credito,EUR,Stati Uniti,Si,Si,No
5575f38b-d7bd-44b1-9c5b-5c4c2b0b8ba5,Andrea Sanchez,Hailey Williams,6746,2023-02-23 08:35:52,Bonifico,GBP,Regno Unito,Si,Si,No
a57f223f-5084-45c9-8dee-ef88af23a247,David Cline,Lauren Atkins,6704,2023-03-13 23:57:38,Bonifico,USD,Russia,Si,Si,Si
7fc5f723-1e03-4e0b-a71e-aecdff862f68,Natalie Reyes,Daniel Robertson,9183,2023-01-10 21:06:55,Carta di credito,EUR,Germania,No,No,No
1eef28c5-db93-4796-b758-4d7c8fee24ce,John Farley,Theodore Wolf,3211,2023-03-25 06:51:02,Carta di credito,EUR,Russia,Si,Si,Si
0da68a68-ebef-41f0-8986-2a4af53dc476,Colleen White,David Roberts,9925,2023-05-04 10:43:27,Assegno,GBP,Germania,No,No,Si
a1387094-b5d8-4040-b403-a9164ca7febe,Eric Barnes,Aaron Pacheco,2022,2023-02-11 20:37:25,Assegno,JPY,Germania,No,No,No
6f2489a3-7ab4-4755-987f-4d6eda88906c,Tina Reed,John Lee,1459,2023-03-06 09:03:24,Carta di credito,EUR,Giappone,Si,Si,No
f1d9119a-777f-41b1-8ec7-d62052d9d510,Meghan Sexton,Amanda Rose,7722,2023-01-06 01:54:32,Carta di credito,USD,Regno Unito,Si,Si,No
013ff7a4-c311-4b8a-bfa4-0ad796cdb054,Robert Sutton,Eric Marquez,4614,2023-04-19 11:49:10,Carta di credito,GBP,Russia,Si,No,No
9c08de70-c165-4f99-a6b8-5b95671a772c,Richard Vasquez,Elizabeth Braun,6061,2023-04-17 06:56:19,PayPal,GBP,Colombia,Si,Si,No
a44bbb2a-32cc-4f23-8ac3-c6797ec92d28,Diana Bates,Barbara Church,3939,2023-08-04 09:31:53,PayPal,JPY,Giappone,Si,No,Si
d9c58f20-5ce0-47a3-831e-731ed0c78634,Tamara Molina,Tracy Potter,8954,2023-01-06 22:25:02,Assegno,JPY,Regno Unito,Si,Si,Si
4eab3994-62b0-4af0-9dbf-367869fe7bb6,Erika Howard,Ashley Petersen,127,2023-07-15 01:04:22,Bonifico,GBP,Francia,No,No,No
36b02282-3bb8-4c5f-8761-d985fc297979,Edward Cruz,Keith Brown,711,2023-06-11 23:39:12,PayPal,USD,Italia,No,Si,Si
f99b1c47-f682-460a-b1f5-29628e17e6d5,Courtney Martin,Kyle Jordan,8708,2023-08-03 15:16:24,Carta di credito,JPY,Giappone,Si,No,Si
fc72a948-d003-458d-9557-b6207a1d6a7d,Daniel Haney,Stephanie Mcguire,8092,2023-08-29 06:19:27,Carta di credito,JPY,Stati Uniti,Si,No,Si
80d545b9-5e1d-463f-af0f-d52b14661d24,Alexa Hurst,Cheryl White,4341,2023-04-13 05:55:28,Assegno,EUR,Colombia,Si,No,Si
ffbb07a4-fab4-4381-b51a-6506bfb62e47,John Gibson,Eric Young,8628,2023-07-17 01:48:30,Assegno,USD,Stati Uniti,Si,Si,No
ecbbe794-ade8-4bd6-bb9c-f90c0b0aaf8f,Christina Petersen,Troy Johnson,2680,2023-01-17 13:25:42,PayPal,USD,Germania,No,Si,Si
b5d5e528-daa7-4dbf-acbb-be2f4043dcd2,Joseph Estrada,Renee Blackburn,6801,2023-02-11 15:21:08,Bonifico,USD,Canada,Si,No,Si
5b0b4e94-fafe-4590-97a2-8455f364ea39,Reginald Larsen,Ashley Shepherd,5405,2023-07-11 12:14:08,Assegno,JPY,Russia,Si,No,No
d39aa42f-0e59-4528-a2cd-5fff2c8dcac7,Eric Vance,Theresa Nguyen,8303,2023-06-18 14:04:35,PayPal,EUR,Russia,Si,No,No
e6c9f06a-0d2c-4517-84cc-134753000298,Joseph Zavala,Joseph Herrera,1108,2023-04-01 23:38:35,Bonifico,EUR,Regno Unito,Si,No,Si
887079a7-1bf9-4663-a23c-5e4b6547c51c,Jacob Nelson,Robert Elliott,3246,2023-01-26 16:14:50,Carta di credito,JPY,Colombia,Si,Si,Si
a0f9a74f-5610-495d-b181-158359a620d9,Kimberly Garcia,Kelli Roberts,6896,2023-07-08 10:02:47,PayPal,USD,Canada,Si,Si,No
7b782898-4183-4298-88a8-07e591facd13,Sarah Welch,Elaine Roth DDS,5515,2023-06-24 18:17:28,Carta di credito,JPY,Colombia,Si,No,No
1595e228-d0aa-4a00-8935-6e98adb0f334,Tara Washington,Anne Navarro,1476,2023-03-05 09:50:34,Carta di credito,JPY,Regno Unito,Si,Si,No
6f1d0b91-824e-486f-8fc0-4739f6a2a56b,Jerome Stuart,Julie Thomas,2519,2023-07-12 05:59:21,Assegno,JPY,Germania,No,Si,No
1087f202-9eda-4ee0-ad83-0009fd4d0ad1,Patrick Watson,Alexis Morgan,8991,2023-03-27 12:28:02,Assegno,EUR,Colombia,Si,Si,No
b9a6ad69-e397-42c2-ac0d-8adc82ae4a1b,Morgan Duran,Rhonda White,615,2023-04-25 00:49:53,Bonifico,JPY,Germania,No,Si,Si
2396f91f-6549-42d0-a07f-31b786990403,Theodore Wilson,Beth Sherman,4279,2023-02-14 03:07:39,Assegno,JPY,Stati Uniti,Si,Si,No
98e7eb50-0da6-429b-b96b-8144268b3041,Christina Russell,Mrs. Diana Thomas PhD,8195,2023-04-03 10:45:49,PayPal,GBP,Canada,Si,No,No
c45c3412-386a-4b04-aeca-0b9315c28e4f,Cheryl May,Carl Aguirre,2150,2023-03-06 00:03:35,Assegno,JPY,Canada,Si,No,Si
421e767b-471e-410d-b1c9-9adc6ceabb7c,Christian Woodard,Cody Thompson,8366,2023-03-14 04:42:31,PayPal,EUR,Giappone,Si,No,No
bc8e14c4-9b82-419f-901f-081a472bf035,Amanda Richardson,Joshua Hughes,8912,2023-01-21 06:46:17,Carta di credito,JPY,Canada,Si,No,Si
1b6b4cae-36a4-4b4c-b0d4-f7d2037ba659,Nicole Chen,John Hernandez,5020,2023-02-04 13:47:00,Assegno,EUR,Colombia,Si,No,No
5ec14150-d964-4079-a531-ebd5ce4daa9b,Ryan Porter,Timothy Vargas,3753,2023-04-26 05:11:53,Bonifico,EUR,Francia,No,No,Si
1a4619e6-a44b-4445-8421-55b0658fa23f,Alicia Francis,Tyler Davis,3478,2023-07-25 22:17:46,Carta di credito,GBP,Colombia,Si,No,Si
a80967ef-a98d-4cb1-a74b-6594a592724f,Ashlee Kim,Jessica Watson,2499,2023-02-12 18:59:04,Assegno,USD,Canada,Si,Si,Si
4fb2fe76-b3c7-4cdc-a3ab-fe0e93507c67,Robin Robbins,Michael Mitchell,6572,2023-07-10 17:54:36,Carta di credito,EUR,Regno Unito,Si,Si,Si
d8005f96-9691-4212-a9f1-53efca5330d2,Nichole Anthony,Erin Garcia,1204,2023-07-13 16:02:00,Bonifico,GBP,Giappone,Si,Si,No
b6ad411a-0bb5-427c-b990-063a6367e9cb,Ivan Henderson,Virginia Costa,8741,2023-02-20 03:14:42,Carta di credito,USD,Germania,No,Si,No
a396df63-b13e-4162-b2d8-7c1dfe23b2da,Nathan Day,Crystal Holt,7778,2023-05-13 05:04:59,Bonifico,JPY,Germania,No,Si,No
c61cedcd-7329-4731-ba19-427eedae8785,Jordan Hughes,James Henson,3677,2023-07-04 18:00:22,Bonifico,GBP,Stati Uniti,Si,Si,No
edcc7213-b909-4761-ae9a-f3bb27b8de13,Henry Lee,Frederick Gill,6014,2023-07-29 20:17:29,Carta di credito,JPY,Regno Unito,Si,No,No
87e79783-431b-4017-b928-ddf40a55e1f4,Susan Watson,Jennifer Bennett,9248,2023-03-10 10:45:07,PayPal,JPY,Germania,No,Si,No
736e1ec4-65d2-472b-80ce-7bfaa8a256ef,Tiffany Hart,Melissa Gordon,5694,2023-06-15 02:49:56,Bonifico,USD,Germania,No,No,Si
c3de0d74-2687-4b58-8ed6-9e979d57b3d2,Justin Vaughan,Wendy Choi,892,2023-03-24 15:23:20,PayPal,EUR,Colombia,Si,Si,No
5ad08d3a-1943-49c6-881a-bb0739e62633,Rachel Stevens,Cynthia Harris,4893,2023-08-17 17:51:03,Assegno,GBP,Colombia,Si,No,Si
0b2523a5-977b-48d2-b38a-75fe034e5dbf,Thomas Hood,Samuel Fowler,8428,2023-07-29 07:50:24,Carta di credito,EUR,Stati Uniti,Si,Si,Si
269c6c0c-2a49-4981-9bc5-1b5b6f8f8985,Amy Mendoza,Paige Smith,8797,2023-08-16 07:35:56,PayPal,GBP,Russia,Si,No,Si
08d9405e-0f32-49f7-b5f4-f07c2d442fc3,Julie Sullivan,Nicholas Rivera,4311,2023-06-03 02:01:36,PayPal,JPY,Francia,No,Si,Si
9a3c4a4c-e777-41b3-855e-449d517714cf,Catherine Roman,Michelle Wright,7162,2023-01-31 01:48:40,Carta di credito,EUR,Regno Unito,Si,No,No
c870d719-9438-4cc4-a092-2e6f385d2196,Karen Garcia,Dawn Mitchell,9025,2023-02-02 08:40:41,Assegno,USD,Regno Unito,Si,Si,No
587d371d-59c1-4cfe-9f1b-d6fedb96ae72,James Perez,Sarah Gomez,4326,2023-05-15 02:16:10,Carta di credito,GBP,Regno Unito,Si,No,Si
e600b8e1-4fa0-4686-8ad6-4d3a8237eb3a,Robert Cohen,Adriana Hammond,8141,2023-06-13 08:50:01,PayPal,GBP,Colombia,Si,Si,Si
352fae82-848c-460e-8367-9526501caa10,Catherine Ayala,Jerry Wallace,5797,2023-04-15 08:52:12,Assegno,USD,Francia,No,No,Si
c5026fca-ec2d-4b7e-aabd-b0159e99dc3e,Jonathan Bailey,Amanda Lewis,3120,2023-02-11 22:48:46,PayPal,EUR,Giappone,Si,No,Si
d945ffd7-7d1d-4371-aa70-d0836fcc994d,Alicia Harmon,Wesley Chan,6160,2023-01-23 00:21:58,Carta di credito,EUR,Italia,No,No,Si
5e04abcd-7e50-4b16-ab58-c4eef0e68c91,Alexandria Moore,Justin Turner,311,2023-04-28 03:30:40,Assegno,JPY,Giappone,Si,No,No
bbadf528-3fb4-4ba2-a275-664db519d45e,Charles Tapia,Jessica Nash,6220,2023-01-14 05:15:05,PayPal,JPY,Colombia,Si,Si,Si
128bea0d-7c56-48bb-b7a3-ffe3680bbe8a,Kelly Hebert,Jeremiah Myers,6182,2023-01-06 07:18:23,Assegno,JPY,Regno Unito,Si,Si,No
addb417d-c6be-4cf2-b430-8f450bdfff27,Michelle Martin,Nicole Reid,5249,2023-07-04 11:37:48,Assegno,JPY,Italia,No,No,Si
0b3ce631-02ed-441e-8575-7717dba015c7,Morgan Weber,Scott Thompson,3915,2023-01-19 16:23:21,PayPal,USD,Germania,No,No,No
79d36d9b-856f-4794-91a1-f49e80a38fe3,Steven Sharp,Christopher Edwards,1709,2023-05-19 06:44:43,Carta di credito,GBP,Giappone,Si,Si,Si
6adfb241-2de9-48fb-8011-c56a7a471b93,Jennifer Mays,Ryan Clark,2770,2023-05-19 23:00:56,Bonifico,JPY,Germania,No,No,Si
